# Time-averaged data for fix out_rdf
# TimeStep Number-of-rows
# Row c_rdf_all[1] c_rdf_all[2] c_rdf_all[3] c_rdf_all[4] c_rdf_all[5] c_rdf_all[6] c_rdf_all[7]
1000 200
15 0.58 0 0 0 0 0 0
16 0.62 0 0 0 0 0 0
17 0.66 0 0 0 0 0 0
18 0.7 0 0 0 0 0 0
19 0.74 0 0 0 0 0 0
20 0.78 0 0 0 0 0 0
21 0.82 0 0 0 0 0 0
22 0.86 0 0 0 0 0 0
23 0.9 0 0 0 0 0 0
24 0.94 0 0 0 0 0 0
25 0.98 0 0 0 0 0 0
26 1.02 0 0 0 0 0 0
27 1.06 0 0 0 0 0 0
28 1.1 0 0 0 0 0 0
29 1.14 0 0 0 0 0 0
30 1.18 0 0 0 0 0 0
31 1.22 0 0 0 0 0 0
32 1.26 0 0 0 0 0 0
33 1.3 0 0 0 0 0 0
34 1.34 0 0 0 0 0 0
35 1.38 0 0 0 0 0 0
36 1.42 0 0 0 0 0 0
37 1.46 0 0 0 0 0 0
38 1.5 0 0 0 0 0 0
39 1.54 0 0 0 0 0 0
40 1.58 0 0 0 0 0 0
41 1.62 0 0 0 0 0 0
42 1.66 0 0 0 0 0.779222 0.00337729
43 1.7 0 0 0 0 12.3619 0.059569
44 1.74 0 0 0 0 58.8585 0.339852
45 1.78 0 0 0 0 120.496 0.940335
46 1.82 0 0 0 0 133.032 1.63342
47 1.86 0 0 0 0 101.872 2.18775
48 1.9 0 0 0 0 61.0384 2.53432
49 1.94 0 0 0 0 32.4442 2.72638
50 1.98 0 0 0 0 15.7324 2.82338
51 2.02 0 0 0 0 8.70549 2.87925
52 2.06 0 0 0 0 4.28898 2.90788
53 2.1 0 0 0.00027308 1.89394e-06 2.56435 2.92567
54 2.14 0 0 0 1.89394e-06 1.44234 2.93606
55 2.18 0 0 0.00278686 2.27273e-05 0.938072 2.94307
56 2.22 0 0 0.0178362 0.000160985 0.784253 2.94915
57 2.26 0 0 0.0627132 0.000664773 0.524515 2.95336
58 2.3 0.000230297 1.89394e-06 0.18734 0.00222348 0.432972 2.95696
59 2.34 0 1.89394e-06 0.424214 0.00587689 0.451908 2.96086
60 2.38 0.00279529 2.65152e-05 0.771473 0.01275 0.407949 2.96449
61 2.42 0.00998365 0.000117424 1.27996 0.0245398 0.415539 2.96832
62 2.46 0.0420694 0.000513258 1.78051 0.0414867 0.395378 2.97208
63 2.5 0.133701 0.0018125 2.17425 0.0628598 0.395923 2.97597
64 2.54 0.292652 0.00474811 2.49827 0.0882102 0.668848 2.98276
65 2.58 0.570589 0.0106534 2.60411 0.115473 0.72507 2.99035
66 2.62 0.939268 0.020678 2.61538 0.14371 0.846084 2.99949
67 2.66 1.4055 0.0361402 2.44065 0.170871 0.945112 3.01
68 2.7 1.85625 0.0571799 2.29008 0.197129 1.04918 3.02203
69 2.74 2.23728 0.0832955 2.067 0.221536 1.04873 3.03442
70 2.78 2.47646 0.113053 1.79479 0.243352 0.987024 3.04641
71 2.82 2.62543 0.145515 1.62189 0.263638 0.961774 3.05844
72 2.86 2.60583 0.178655 1.43802 0.282138 0.825047 3.06906
73 2.9 2.45565 0.210765 1.23024 0.298411 0.950803 3.08163
74 2.94 2.28966 0.241536 1.08373 0.313144 0.86595 3.09341
75 2.98 2.04917 0.26983 0.972386 0.326725 0.900419 3.10598
76 3.02 1.83939 0.295913 0.879459 0.339341 0.948481 3.11959
77 3.06 1.63876 0.319771 0.796689 0.351074 0.971888 3.1339
78 3.1 1.41701 0.340943 0.739919 0.362258 1.01721 3.14928
79 3.14 1.26203 0.36029 0.674905 0.372723 1.13665 3.1669
80 3.18 1.10039 0.377591 0.645053 0.382983 1.29631 3.18752
81 3.22 1.0113 0.393894 0.635867 0.393352 1.41223 3.21055
82 3.26 0.887718 0.408563 0.599278 0.403369 1.56252 3.23667
83 3.3 0.798436 0.422081 0.582407 0.413345 1.67135 3.26529
