# Time-averaged data for fix out_vacf
Step VACF_x VACF_y VACF_z VACF_total
1280 -0.0794637 -0.0212543 0.192123 0.0914048
1285 -0.0413292 -0.014281 0.0907787 0.0351685
1290 0.00685928 -0.0102539 -0.0296618 -0.0330564
1295 0.0619254 -0.00833071 -0.145903 -0.092308
1300 0.118105 -0.0028924 -0.236951 -0.121738
1305 0.170444 0.00835693 -0.284453 -0.105652
1310 0.213921 0.0227589 -0.277739 -0.0410584
1315 0.241326 0.0382096 -0.219732 0.0598028
1320 0.247194 0.0556243 -0.125856 0.176962
1325 0.231947 0.0742745 -0.0179371 0.288284
1330 0.199052 0.0882803 0.0828768 0.37021
1335 0.153236 0.0919204 0.160218 0.405374
1340 0.100167 0.0850742 0.204718 0.389959
1345 0.0441725 0.0718873 0.21612 0.33218
1350 -0.0121458 0.0572627 0.200761 0.245878
1355 -0.0640556 0.0427447 0.168328 0.147017
1360 -0.103817 0.0277189 0.127722 0.0516238
1365 -0.123053 0.0116335 0.0826943 -0.0287252
1370 -0.115174 -0.00727813 0.0334673 -0.0889846
1375 -0.0804939 -0.0335473 -0.0146995 -0.128741
1380 -0.0327089 -0.0730964 -0.0491185 -0.154924
1385 0.0047693 -0.128019 -0.059315 -0.182565
1390 0.0156567 -0.189744 -0.0449922 -0.21908
1395 0.00298368 -0.241332 -0.0160365 -0.254385
1400 -0.0159267 -0.268237 0.0131523 -0.271011
1405 -0.0268464 -0.267537 0.0305936 -0.263789
1410 -0.027625 -0.243504 0.0321502 -0.238979
1415 -0.0208994 -0.199294 0.0233986 -0.196795
1420 -0.00633422 -0.139695 0.0156191 -0.13041
1425 0.0168569 -0.0750758 0.0216932 -0.0365258
1430 0.0442896 -0.0179153 0.04922 0.0755944
1435 0.0684708 0.0259612 0.0955092 0.189941
1440 0.0812443 0.0597893 0.151335 0.292369
1445 0.0738199 0.0873159 0.204953 0.366089
1450 0.0405513 0.105795 0.244646 0.390992
1455 -0.0133121 0.10775 0.260723 0.35516
1460 -0.0718703 0.0876971 0.246165 0.261992
1465 -0.116321 0.0494151 0.201313 0.134407
1470 -0.131088 0.00419433 0.134018 0.00712445
1475 -0.112129 -0.0389363 0.0533631 -0.0977021
1480 -0.0697337 -0.076406 -0.0336691 -0.179809
1485 -0.0197657 -0.105677 -0.120789 -0.246231
1490 0.0256202 -0.122875 -0.196398 -0.293653
1495 0.0590891 -0.127005 -0.2449 -0.312816
1500 0.0775772 -0.12309 -0.259831 -0.305344
1505 0.0812993 -0.114777 -0.24675 -0.280228
